,type,fullnames,model,n_samples,avg_dice,tile_sizes,pixel_sizes,dice_sample_0,dice_sample_1,dice_sample_2,dice_sample_3,dice_sample_4,dice_sample_5,dice_sample_6,dice_sample_7,dice_sample_8,dice_sample_9,dice_sample_10,dice_sample_11,dice_sample_12,dice_sample_13,dice_sample_14,dice_sample_15,dice_sample_16,dice_sample_17,dice_sample_18,dice_sample_19,dice_sample_20,dice_sample_21,dice_sample_22,dice_sample_23,dice_sample_24,dice_sample_25,dice_sample_26,dice_sample_27,dice_sample_28,dice_sample_29
0,base,deeplab_256_10_n128_RESNET101,deeplab,128,0.589244351119845,256,10,0.6855544621121873,0.2569269521410579,0.4209097080787508,0.2905435191656362,0.6905068854380311,0.1651994439998315,0.7115764561696373,0.7063277278060227,0.8166009189899975,0.8294060890692024,0.5554551236985705,0.8083441981747066,0.6753367793924707,0.7438888730425853,0.7782729199500027,0.7263441105385563,0.5613915416098226,0.8801717582859955,0.7567164179104477,0.5774594099162011,0.4061629466588712,0.7721725761506678,0.4691168963757018,0.7801007556675063,0.7958489256954747,0.3063908409510824,0.3358885017421603,0.7254625157886916,0.1820711047864218,0.2671821742890573
1,base,deeplab_256_10_n128_RESNET50,deeplab,128,0.6009724569615571,256,10,0.5400175901495162,0.2220964455512791,0.705731941189005,0.2273686693001592,0.7286933921139642,0.1975920910959574,0.6308410298645019,0.7288278863455664,0.8405405405405405,0.7948480670808861,0.4842080336263801,0.8896135034046226,0.7445542339981948,0.6981321332718844,0.7847636271157704,0.8020879232620411,0.6066746126340882,0.8841261975553353,0.8309729231103152,0.4342897626638328,0.4803184431667404,0.7637977614820533,0.4290473017988008,0.7864856659582773,0.761072853599544,0.3074002363650079,0.4087416846247541,0.7521412803532009,0.2163473460630303,0.3478405315614618
2,base,deeplab_256_10_n2_RESNET101,deeplab,2,0.3936920260108539,256,10,0.5858988409551327,0.123086304144254,0.1419115434760806,0.2540887658764454,0.4318004949153135,0.1238682169592864,0.1672872071180301,0.4948662768370179,0.7410874765630051,0.3060620403665058,0.3218779699676867,0.4847793753098661,0.6235134563071786,0.466538143762049,0.6108707587570001,0.6312350597609562,0.3435292455495903,0.6852530709370378,0.5873343504143109,0.5215909585819433,0.2531599855543517,0.3479496898690558,0.1918301241677164,0.5489449553583398,0.5576585774496715,0.2985157479956682,0.0723047448433728,0.6333131995938982,0.1303102184159452,0.1302939805189077
3,base,deeplab_256_10_n2_RESNET50,deeplab,2,0.247585232528349,256,10,0.2113344090753508,0.0012649078424286,0.194119612429001,0.1106031299454897,0.252488055445395,0.1269404598152878,0.1237692408995483,0.2580366330520683,0.2997317727383565,0.2461703323190484,0.3064178340391865,0.4964954307514861,0.3689615433864014,0.3765866981161354,0.4596429272120855,0.1823989084594393,0.0858820240424937,0.3775962660443407,0.3458607907742998,0.1102627151546525,0.0975862292111564,0.3937992046100154,0.2357927181660566,0.414878750513769,0.3997623174052983,0.3097768263450026,0.057560207433955,0.342369771030571,0.1243479513905567,0.1171193082015943
4,base,deeplab_256_10_n32_RESNET101,deeplab,32,0.5538017394117873,256,10,0.4526748971193415,0.0170375521557719,0.4224361347649019,0.3453540169677433,0.6627291169236845,0.2071836537688038,0.6680978003289749,0.6744245995212668,0.8394995588049918,0.5424556290793832,0.5849976034510305,0.7543940369927303,0.5575971577410144,0.6216842974681533,0.7548581391662704,0.7806274159976212,0.4780800933693194,0.8269496588932983,0.7523097685041005,0.2988789878329977,0.5441525088897669,0.7012765957446808,0.4586566764784586,0.6706752565020282,0.7659971901143112,0.3527065224446923,0.2475877780755829,0.746277315799652,0.4444345125030727,0.4400177069499779
5,base,deeplab_256_10_n32_RESNET50,deeplab,32,0.5374139129574761,256,10,0.5546805083228924,0.2857346495135597,0.4486682182570468,0.1397969260375256,0.6518544590611114,0.1221356624931276,0.5890207258668253,0.6677206070037629,0.792973244048497,0.6786192168003639,0.3784071911419087,0.7642863591225061,0.6660265314303293,0.6370518874145981,0.7149323780166069,0.7719150861094058,0.4923750566208666,0.8819340499841248,0.747641387843481,0.3013502271709221,0.3316604313045594,0.6642965972574911,0.4581718714383405,0.7158716924832156,0.7554955157792037,0.2790820540989311,0.4638118383195061,0.7383897719419489,0.2001640689089417,0.2283491749326827
6,base,deeplab_256_10_n8_RESNET101,deeplab,8,0.5383832785176034,256,10,0.458090231644619,0.1092996701344836,0.2767520349414334,0.3346368715083799,0.604527773708966,0.2187014312556542,0.6396464905970609,0.6034782309531591,0.8149779735682819,0.6229575391723958,0.5923196416314439,0.6737445230872936,0.7065379454301476,0.6296476011402924,0.7202456203720426,0.7958281333571047,0.49728788589031,0.8324048479693813,0.6840145148968678,0.5201030559721376,0.5179013280816038,0.6627874237447208,0.4903154399557277,0.7033431705061005,0.7234351095223939,0.3510311313001896,0.1922847780756628,0.7080979908237126,0.1256188513269447,0.3414811149595909
7,base,deeplab_256_10_n8_RESNET50,deeplab,8,0.6057571800526507,256,10,0.7228554610156793,0.1472513368983957,0.7085084033613446,0.2473510569588213,0.6725009022013714,0.2450317344709187,0.696724425767083,0.6243478558355142,0.8532638071921401,0.6576316836531693,0.6576927812205031,0.832536858159634,0.7163497797007106,0.691972920696325,0.8302479677573604,0.8588636064216212,0.4603566529492455,0.9034381224560492,0.8463147410358566,0.4587327004460711,0.5294699058419602,0.8316008316008316,0.7267702936096718,0.7389676257287766,0.7462961400062914,0.3758793854882806,0.0571782433687687,0.8057329969402545,0.260972560373758,0.2678746204231184
8,base,deeplab_256_25_n128_RESNET101,deeplab,128,0.4560455479748632,256,25,0.3623751387347392,0.0,0.0,0.0090021231422505,0.5775930957327793,0.1729160210722032,0.601221130873374,0.6150390525294809,0.7916818016709045,0.7982904270593342,0.6051108968177434,0.5509372453137734,0.540615548834727,0.6525475751995089,0.7139180360324688,0.7695048094050588,0.2616580310880829,0.6317109884596086,0.69773145309626,0.6581038293804887,0.3311342838901894,0.3240381221320155,0.08,0.6436684896928901,0.6731936926335609,0.2076927726622474,0.2155409697226339,0.509679690249912,0.1617439278745879,0.5247172859450727
9,base,deeplab_256_25_n128_RESNET50,deeplab,128,0.546138770769615,256,25,0.4681481481481481,0.3059805285118219,0.0,0.0248648648648648,0.7180774056558247,0.259063829787234,0.5917969976760253,0.7547110716709297,0.8331026847495157,0.8468237704918032,0.5684787189211968,0.7238188017535314,0.6308614813856175,0.6622083981337481,0.8067444876783398,0.8016428016428017,0.4886052871467639,0.8003982080637133,0.8544812078380983,0.5063947704987921,0.4785276073619632,0.4585070102311481,0.3602941176470588,0.8472473507366245,0.7805257142857143,0.360961004819629,0.1741309113686188,0.6237477132154369,0.1771933606380685,0.4768248681654177
10,base,deeplab_256_25_n2_RESNET101,deeplab,2,0.1009429517859717,256,25,0.0,0.0983845499817806,0.0017905102954341,0.0635909048023398,0.1781694312796208,0.0289115646258503,0.0486566601976728,0.0305378654185529,0.299145968816109,0.2000738446699972,0.2205779422057794,0.0,0.165160014216618,0.1746091780131114,0.0,0.1608073455207213,0.0844030244417091,0.3632723112128146,0.2644795463750506,0.0204470812586079,0.0934852140732843,0.0,0.0,0.0,0.3041345722082139,0.065117893321186,0.0021130009076975,0.1092084450863076,0.0106766548815066,0.0405350297691868
