,model,n_samples,avg_dice,type,tile_sizes,pixel_sizes,fullnames,dice_sample_0,dice_sample_1,dice_sample_2,dice_sample_3,dice_sample_4,dice_sample_5,dice_sample_6,dice_sample_7,dice_sample_8,dice_sample_9,dice_sample_10,dice_sample_11,dice_sample_12,dice_sample_13,dice_sample_14,dice_sample_15,dice_sample_16,dice_sample_17,dice_sample_18,dice_sample_19,dice_sample_20,dice_sample_21,dice_sample_22,dice_sample_23,dice_sample_24,dice_sample_25,dice_sample_26,dice_sample_27,dice_sample_28,dice_sample_29
0,deeplab,128,0.6665563099934049,fine-tuned,256,10,deeplab_256_10_n128_RESNET101,0.5081081081081081,0.1554693290316955,0.8173390127787522,0.3066436583261432,0.7584030884017892,0.352139749772367,0.8256316530415668,0.7511984335966512,0.88028085810252,0.842167742235826,0.7177687809266756,0.8841631734996421,0.7976861491283856,0.7956271435570799,0.8839133921411387,0.8953416786373897,0.5034672746271492,0.9095980611824958,0.8552319309600863,0.4650453231156759,0.5509700571941236,0.8154703375942314,0.8121739130434783,0.7875070768069448,0.8157881801648289,0.3973639190833681,0.4538003910637767,0.763458401305057,0.2732682535437282,0.4216642288314643
1,deeplab,128,0.6489742321614096,fine-tuned,256,10,deeplab_256_10_n128_RESNET50,0.3591361660356191,0.1650023223409196,0.8695414847161572,0.179561245998907,0.7588576158940398,0.3812795538131996,0.8537570843615262,0.7887942344359508,0.895392066577987,0.7841594612517142,0.7127282516039302,0.8597095999164316,0.713827179706649,0.7887438548906595,0.8199400708253882,0.8347652845224754,0.5136857892763405,0.9061116436167784,0.8005672149744754,0.236151091289952,0.5692928334124348,0.8193863319386332,0.8210526315789474,0.7923091387739751,0.8035055350553506,0.3913622492550059,0.3267123586676562,0.7320136735829558,0.3442660726630309,0.6476149238651945
2,deeplab,2,0.402612200582024,fine-tuned,256,10,deeplab_256_10_n2_RESNET101,0.169893139228744,0.0184854665986741,0.0,0.0049301561216105,0.5944492664648475,0.3538412496015301,0.5766450923960463,0.6730792820051519,0.7275605451336451,0.4161034948831821,0.6076097353597619,0.3868181091025436,0.7801172207060086,0.7586809092761301,0.6917860311826594,0.7733393379869399,0.07002457002457,0.7200441135925006,0.4557212416311625,0.5407168356418678,0.0,0.2489787142549989,0.0,0.649988930706221,0.6829663135341031,0.3055908783927669,0.0,0.504389903222588,0.1388322340829426,0.2277732463295269
3,deeplab,2,0.3861358183168545,fine-tuned,256,10,deeplab_256_10_n2_RESNET50,0.373791071542945,0.0015015015015015,0.0,0.1874829560949004,0.3403977355203948,0.2384558551902475,0.6469672995780591,0.4073052220050265,0.6491136406045904,0.6925248884856253,0.5215451577801958,0.1749884062451692,0.6771608406039691,0.4804321385132718,0.6149916561659231,0.748492981915783,0.0593869731800766,0.5724513618677043,0.569532836831415,0.4598446218972484,0.2911191093998493,0.6121134020618557,0.0,0.4791364401369624,0.4286401046073379,0.2663124914861735,0.2701520036849378,0.6942884002476326,0.1044578490510519,0.0214876033057851
4,deeplab,32,0.6653061442816902,fine-tuned,256,10,deeplab_256_10_n32_RESNET101,0.476803118908382,0.2303447522264109,0.7746741154562383,0.3793756128708581,0.7501677204252983,0.4615149040424663,0.8513658911479075,0.766432362170173,0.8558232430408189,0.8398018461099825,0.8077617854437387,0.8617886178861789,0.7732576159006609,0.7446786979254512,0.8408404669260701,0.7422400542946683,0.4628778245133522,0.8984424280654083,0.8078127669267126,0.5743046357615894,0.6149933529853766,0.8503710797222888,0.7766475011057055,0.771689720905225,0.7680637173374727,0.4019683725421971,0.2927541522175579,0.7574380247305639,0.2336208779209434,0.5913290689410092
5,deeplab,32,0.6103351691101632,fine-tuned,256,10,deeplab_256_10_n32_RESNET50,0.4265489024548642,0.1834033613445378,0.7106332138590203,0.2638153882473293,0.7204336131714076,0.3290472815632277,0.7263091728801804,0.6626151562788165,0.8674990465767962,0.78238196631434,0.6733710808755177,0.837328598204597,0.7187088717037322,0.6516406331900618,0.7200195127239221,0.8733931603201552,0.5244291253769927,0.882627063281216,0.8403908794788274,0.4106183334669981,0.5675661176975484,0.7799488491048593,0.7175029632556302,0.7706617306802406,0.7657532558235076,0.3869402023224962,0.0019256485691361,0.8172163847839523,0.2368218013480267,0.4605037584069629
6,deeplab,8,0.5914029609017857,fine-tuned,256,10,deeplab_256_10_n8_RESNET101,0.7678319638255457,0.1935794423667938,0.7340517241379311,0.3099831131419489,0.7131594085202856,0.1529395538949559,0.7556138815981336,0.7011071219336328,0.8169251811541484,0.7814157650695518,0.4926682831081861,0.8083475298126065,0.7283147257466611,0.7799792618333661,0.7087740137515134,0.7153507536794677,0.6693692232852279,0.8898629195135577,0.882664493786922,0.6994466215178523,0.3931111465476,0.6824142266930124,0.4060356652949246,0.820407815032847,0.7357134331525271,0.2936733881079167,0.0,0.7418656962333625,0.1331576342637036,0.2343248400493882
7,deeplab,8,0.5886327135949972,fine-tuned,256,10,deeplab_256_10_n8_RESNET50,0.5742098305492128,0.1277177825773938,0.5135730007336757,0.254377858344589,0.7149583731404394,0.1213207970082697,0.564233474788433,0.6885240505287413,0.8126176077682176,0.8394378822100217,0.477663133627597,0.7892713611742094,0.7417017352150225,0.7869488536155202,0.7338854708944629,0.7921865412149723,0.6392584327525535,0.8773206532974984,0.836008519037972,0.5392225339211084,0.4760415852419292,0.7256029684601113,0.6597197269134027,0.8222845486996431,0.7263803508178944,0.2795424365294213,0.3497896454022495,0.8211324719672966,0.1213488657265481,0.2527009156915092
8,deeplab,128,0.6115871233007474,fine-tuned,256,25,deeplab_256_25_n128_RESNET101,0.6546762589928058,0.3897353648757017,0.4763271162123386,0.0,0.753939643629622,0.3087490961677512,0.7892068683565004,0.6479766586325003,0.8584418268237239,0.817239028241289,0.5720375106564365,0.8217592592592593,0.6014211604690701,0.8267760581763938,0.8405549626467449,0.7668558456299659,0.6332794830371568,0.8462009803921569,0.8140774973338073,0.395844032710465,0.590009425070688,0.8124076809453471,0.6571428571428571,0.8391646324925414,0.7812727891487189,0.1691082200130309,0.235329703569268,0.6439453125,0.2555076084487849,0.548626817447496
9,deeplab,128,0.621474479483842,fine-tuned,256,25,deeplab_256_25_n128_RESNET50,0.5778454510848877,0.3706534199465036,0.5414551607445008,0.0,0.7402722692678744,0.4264090177133655,0.6873153852645792,0.6387208297320657,0.8490351872871736,0.8087052635590959,0.6574307304785895,0.8446438586651711,0.6040906390562675,0.7465625530470209,0.8098078197481776,0.8342193101743108,0.5149769585253456,0.8540605334132454,0.7759000734753857,0.575568935605674,0.4838150289017341,0.7710314557425019,0.6395663956639567,0.843664289632474,0.7826130402198351,0.3089096032950357,0.227179336659818,0.6529061408913535,0.4053955523149836,0.6714801444043321
